caseid,name_indicator,eventcode,EVENTCODEDATE,sex,age,pre_marriagestat,current_marriagestat,white,black,hispanic,schooling,left.b.a,evac.state,state.most.time,lives.NO.still,same.home,month.returned,year.returned,fulltime,partime,selfempfull,selfemppart,laidoff,unemployed,disabled,student,health.before,health.after,received.metal.care,life.quality,mobile,apartment,singlefam,duplex,own.rent,res.damage,income,stayed.first.month,q31,q32,q33,q34,q35,q36,q37
11559,1,492,3-Nov-06,2,24,5,5,1, , ,6,1,LA,DC,1,1,1,2006, ,2, , , , , ,9,1,1,2,2, , , ,4,2,4,2,4,4,5,4,5,4,5,5
11562,1,491,29-Sep-06,2,54,1,1,1, , ,5,1,AL,AL,1,1,10,2005,1, , , , , , , ,2,3,1,3, , ,3, ,1,3,7,5,3,4,2,5,4,5,9
11569,1,485,12-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11580,1,491,27-Sep-06,1,66,1,1,1, , ,5,1,LA,AR,1,1,10,2005,1, , , , , , , ,1,3,2,3, , ,3, ,1,3,7,-6,2, , , , , ,8
11586,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11589,1,485,11-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11593,1,485,11-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11595,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20602,0,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20608,0,410,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20617,1,485,5-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20625,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20629,0,491,16-Oct-06,2,59,5,5, , , ,1,1,LA,LA,3, , , , , , , , , , , ,2,1,2,2, , , ,4,1,2,2,2,1,3,3,5,4,5,10
20633,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20640,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20645,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20655,1,485,11-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20671,0,400,8-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20675,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20682,0,490,2-Nov-06,2,26,5,5, ,2, ,3,3, , ,1,1, , ,1, , , , , , , ,1,1,2,2, ,2, , ,2,4,2,1,5,5,5,5,3,5,7
20685,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20692,0,491,21-Sep-06,1,75,1,3, ,2, ,1,1,LA,LA,3, , , , , , , , , , , ,3,5,2,3, , ,3, ,1,1,2,5,3,2,1,3,2,5,10
20703,0,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20706,0,491,18-Sep-06,1,52,1,1, ,2, ,3, ,LA,TX,2, , , ,1, , , , , , , ,4,4,1, , , ,3, ,1,2,3,2,1,3,1,4,1,5,10
20711,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20719,1,400,8-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20726,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
